mainstem,head,out,provider
2246324,1722065,1721911,2
2246331,1723401,1721233,2
2244291,1736114,1737130,2
2244303,1738550,1737078,2
2244304,1735956,166173477,2
2245470,1737188,1743082,2
2245745,1737174,1736804,2
2245494,1735750,1737268,2
2245697,1735718,1736684,2
2247171,1736582,1736548,2
2245608,1732854,1734134,2
2244926,1732116,1734072,2
2245569,1732658,1733432,2
2245616,1732154,1733464,2
2245751,1731068,1731412,2
2245209,1731020,1731390,2
2246102,1731154,1733770,2
2246899,1731166,1733326,2
2245752,1731170,1733842,2
2246730,1731172,1732078,2
2246426,1732342,1734166,2
2246091,1732382,1734212,2
2245384,1732416,1736762,2
2244945,1734604,1737250,2
2245436,1732360,1735542,2
2246016,1734888,1733584,2
2246551,1732684,1733658,2
2245102,1734904,1743080,2
2246416,1737664,1737632,2
2245333,1738016,1743088,2
2246014,1737670,1735874,2
2246191,1738076,1736950,2
2245054,1737936,1737120,2
2245871,1737820,1736218,2
2245743,1736374,1737132,2
2247154,1737274,1735868,2
2247159,1738026,1737732,2
2245937,1734940,1733640,2
2246088,1732204,1733762,2
2246007,1734250,1734048,2
2255095,2679808,2681424,2
2257724,1025928,5205320,2
2258292,1024966,1025246,2
2258824,1024830,1025208,2
2258826,1024784,1022746,2
2258422,1021914,1022598,2
2258683,1022762,1022548,2
2259458,1022224,1022498,2
2258905,1023910,1022578,2
2258898,1023912,1023784,2
2259290,1023620,1023666,2
2259924,1023616,1023670,2
2259287,1025938,1023742,2
2258979,1023504,1023808,2
2258681,1022022,1022620,2
2258777,1023848,1025242,2
2260295,1026026,1023716,2
2259296,1026030,1023442,2
2258728,1021900,1022708,2
2259455,1022072,166195935,2
2258978,1023944,1023698,2
2260932,1023368,1023380,2
2258724,1023930,1023818,2
2262014,1023650,1023800,2
2258604,1022206,1022552,2
2260903,1022226,1022398,2
2259158,1021802,1022476,2
2259156,1022308,1022596,2
2259150,1025104,1022668,2
2259875,1032265,1032407,2
2258127,1032013,3319032,2
2259273,1032629,1032431,2
2258515,1031897,1032463,2
2258567,1030639,1032303,2
2258964,1031867,1031945,2
2259612,1031943,166195946,2
2259145,1032673,1032569,2
2260244,1032103,1032329,2
2259619,1032701,1032073,2
2258569,1033105,1032607,2
2260861,1032185,1032129,2
2259626,1032141,1032611,2
2259148,1032351,1032723,2
2259269,1032319,1032333,2
2258794,3325254,3330380,2
2258858,3325766,3325588,2
2258618,3324650,3325414,2
2258028,3318574,3330408,2
2258397,3325158,3322470,2
2259218,3321418,3322366,2
2258566,3325734,3322230,2
2258455,3321338,3322080,2
2258886,3324508,3321178,2
2258697,3320858,3321032,2
2258355,3318730,3330414,2
2258486,3320994,3322620,2
2258658,3320318,3321836,2
2258703,3320320,3321822,2
2258587,3318728,3321850,2
2258867,3318368,3319014,2
2258805,3318584,3321806,2
2259113,3321542,3321810,2
2259375,3320770,3322216,2
2258662,3321568,3330398,2
2260226,3322588,3320560,2
2258533,3318494,3322054,2
2259259,3318686,3320254,2
2258961,3320248,3320528,2
2259232,3318982,3321864,2
2258415,3318238,3319212,2
2258708,3319256,3318286,2
2258873,3319786,3319776,2
2258231,3319810,3330388,2
2258809,3319798,3321992,2
2258670,3319794,3323184,2
2258947,3323214,3323124,2
2258144,3323218,3322132,2
2258760,3323314,3322236,2
2260219,3323598,3323548,2
2258712,3319640,3323258,2
2260217,3323596,3323352,2
2258875,3323602,3323508,2
2259131,3323420,3323408,2
2258593,3321216,3322210,2
2258110,3321144,3330412,2
2259033,3324680,3325494,2
2258137,3325748,3325582,2
2258878,3324630,3325602,2
2260169,3323504,3323340,2
2259569,3318656,3319198,2
2258880,3323594,3323242,2
2259119,3319628,3323142,2
2261647,3323316,3323282,2
2259813,3323276,3323288,2
2259212,3324888,3325698,2
2259240,3326322,3323556,2
2257737,19333367,6713545,2
2259747,19334351,19334601,2
2258851,19333857,19334531,2
2260065,19333875,19333861,2
2258526,19334039,19333959,2
2258853,19333375,19333965,2
2258235,19333577,19334521,2
2258852,19333485,19334261,2
2259093,19334623,19334263,2
2259001,19334437,19334537,2
2259004,19334043,19336193,2
2259193,19334971,19334611,2
2259511,19333455,19333351,2
2259336,19333085,19333449,2
2259334,19333765,19334009,2
2259333,19333157,19333333,2
2259194,19333799,19333977,2
2259502,19333935,166421073,2
2258740,6711973,6716133,2
2258550,6710209,6710315,2
2258648,6710379,6710309,2
2261087,6710203,6709905,2
2258579,6709907,6710369,2
2259497,6709955,6710231,2
2259326,6710045,6712457,2
2259185,6711667,6712473,2
2258522,6713195,6712535,2
2258613,6712677,6712499,2
2259486,6711795,6711935,2
2259994,6712669,6711891,2
2259325,6712671,6712431,2
2258217,6712689,6712605,2
2258364,6709567,6712459,2
2258781,6712123,6714597,2
2259483,6711705,6710321,2
2259985,6712687,6712481,2
2259323,6711975,6712325,2
2259491,6712697,6711849,2
2259321,6712711,6711971,2
2259188,6712145,6712041,2
2261136,6712723,6712113,2
2259484,6711747,6712401,2
2259950,6711845,6712509,2
2259312,6710041,6716137,2
2258327,6710867,6713551,2
2259088,19335085,19335279,2
2259089,19335189,19335287,2
2252442,5194846,5197182,2
2252612,5195012,5196730,2
2252716,5196320,5195584,2
2252733,5197088,5195704,2
2252553,5197096,5199650,2
2252787,5195760,24897859,2
2252629,5195554,5196932,2
2252662,5195708,5196440,2
2252618,5198140,5197002,2
2252691,5196572,5197070,2
2252698,5196568,5197050,2
2252745,5196042,5196920,2
2252687,5196074,5196880,2
2252686,5197004,5197064,2
2252648,5197698,5197248,2
2252712,931050163,931050137,2
2252923,931050157,931050160,2
2252809,931050152,931050154,2
2253747,2673698,2678762,2
2256872,5195912,2676686,2
2256920,2678364,2677854,2
2256926,2677788,2677552,2
2253804,2677482,2678014,2
2253810,2674112,2676450,2
2253811,2674872,2676182,2
2253803,2679400,2678058,2
2254206,2677674,2676916,2
2254237,2677748,2677174,2
2254261,2679470,2678314,2
2254291,2676590,2676800,2
2254407,2678452,2678254,2
2254463,2679248,2678346,2
2254509,2679590,2678274,2
2254842,2680314,2677338,2
2254946,2681618,2680262,2
2255036,2674886,2681538,1
2255092,2679864,2681174,2
2255068,2679442,2681118,2
2255653,2674892,2675298,1
2255177,2674820,2675302,2
2255124,2681588,2681258,2
2255126,2681624,2681492,2
2255680,2680288,2682718,2
2255729,2683248,2683658,2
2255771,2682060,2685846,2
2255787,2682058,2685834,2
2255892,2685376,2685766,2
2255953,2685958,2685488,2
2254544,2679238,2680966,2
2255101,2679356,2680752,2
2256107,2680430,2682954,2
2254948,2680032,2680256,2
2253842,2673612,2676220,2
2256919,2676286,2678758,2
2264078,5204288,5205436,2
2264120,5204320,5204446,2
2264125,5203688,5203958,2
2264122,5203584,5202612,2
2257223,5202648,5203188,2
2263965,5202714,5205416,2
2257433,5204346,5207074,2
2257407,5202838,5207072,2
2257374,5202486,5205314,2
2257405,5203586,5203672,2
2258643,5204366,5205338,2
2263897,5204358,5205406,2
2258521,5205372,5205266,1
2259593,3324926,3326712,2
2253558,2674382,2676304,2
2253577,2674170,2677566,2
2253691,2676470,2676552,2
2256632,2673514,2676164,2
2265558,6720437,6724895,2
2264734,6718925,6724863,2
2264847,6721011,6724853,2
2264780,6720865,6722383,2
2264801,6719015,6722239,2
2264832,6721611,6721365,2
2264854,6721325,6721367,2
2264589,6721695,6724819,2
2265578,6720613,6720923,2
2264896,6721889,6721305,2
2264916,6719253,6719217,2
2264949,6720441,6719055,2
2264597,6722473,6724795,2
2264472,6721951,6721531,2
2264826,6720597,6722323,2
2264929,6720615,6722325,2
2264900,6720491,6722275,2
2264784,6722497,6721111,2
2265602,6720743,6720869,2
2265586,6720955,6724923,2
2265779,9311593,9316927,2
2266150,9311301,9314155,2
2266030,9310951,9311261,2
2266539,9311187,9311251,2
2266151,9311297,9311311,2
2266147,9310957,9311175,2
2266837,9311629,9311693,2
2266286,9311571,9311929,2
2266668,9311587,9311659,2
2266987,9311927,9311931,2
2266622,9311911,9311663,2
2266665,9311785,9311737,2
2265995,9311831,9316641,2
2265852,9316301,9314277,2
2266057,9316211,9316575,2
2265879,9316179,9314417,2
2266090,9314893,9314551,2
2266078,9313663,9320165,2
2266051,9312533,9314961,2
2266109,9316623,9316337,2
2266101,9315411,9315903,2
2266083,9315525,9315349,2
2266079,166196066,9314839,2
2266123,9313789,9313517,2
2266058,9313301,9314425,2
2266138,9315467,9315819,2
2266087,9315565,9315839,2
2266251,9315585,9316551,2
2266048,9315765,9316517,2
2266247,9315689,9314121,2
2266182,9315553,9316369,2
2266543,9311683,9311239,2
2268700,5842724,5846372,2
2268102,5842850,5845728,2
2268135,5842432,5845622,2
2268377,5844928,5845954,2
2268819,5843414,5846422,2
2268896,5847488,5854414,2
2268927,5848740,5846390,2
2269057,5847836,5846404,2
2268839,5848398,5846392,2
2269138,5848442,5846046,2
2268906,5850906,5846450,2
2268973,5844160,5845866,2
2269045,5844078,5844620,2
2268444,5849334,5849520,2
2268117,5842554,5845656,2
2269082,5849410,5846442,2
2269010,5847770,5848108,2
2269069,5847828,5847972,2
2268987,5848728,5844802,2
2269008,5843418,5845692,2
2268788,5844336,5846376,2
2271339,6730321,6731503,2
2270463,6728963,6742822,2
2271308,6728673,6728807,2
2274137,6728801,6728793,2
2272227,6728639,6728709,2
2272369,6729557,6728811,2
2270963,6728849,6731427,2
2271342,6730459,6731615,2
2271252,6728973,6731761,2
2271580,6730033,6734887,2
2271766,6731191,6731559,2
2272106,6729537,6731255,2
2271083,6730687,6731651,2
2271637,6730547,6730099,2
2272781,6730045,6730267,2
2271768,6731123,6731355,2
2271922,6730633,6730671,2
2272220,6729741,6729987,2
2271578,6730843,166174261,2
2270695,6738400,6741754,2
2272533,6738314,6738694,2
2271102,6739640,6738800,2
2271831,6739662,6742476,2
2271306,6738632,6738768,2
2270596,166174406,6762188,2
2270908,6761702,6761948,2
2271573,6760116,6760852,2
2270709,6763450,6761440,2
2271369,6762926,6761428,2
2271005,6762744,6763238,2
2271039,6762732,6761970,2
2271822,6761210,6762180,2
2272077,6764252,166174419,2
2271120,166174445,6764078,2
2271521,6760920,6761062,2
2270628,6075597,6076117,2
2271475,6075987,6075395,2
2271003,6075221,6075661,2
2270930,6078689,6078201,2
2271516,6075675,6075789,2
2271165,6075831,6078829,2
2270664,6772553,6746182,2
2270812,6772595,6772159,2
2271327,6773271,6773093,2
2271552,6772847,6772177,2
2271556,6773291,6772365,2
2271508,6772977,6772475,2
2271725,6771129,6772147,2
2270748,6740776,6745654,2
2271719,6740730,6742216,2
2271211,6740956,6742256,2
2271603,6741148,6741158,2
2271493,6740684,6742016,2
2270819,6740992,6745708,2
2271087,6743918,6742818,2
2271132,6744100,6746030,2
2270924,6743850,6746166,2
2270846,6746424,6746456,2
2271136,6747190,6746020,2
2271029,6746422,6746058,2
2271048,6747484,6746236,2
2271460,6746392,6745952,2
2272417,6743930,6745412,2
2271351,6746342,6746458,2
2270762,6738902,6742048,2
2271063,6740078,6742020,2
2272579,6739858,6740006,2
2271253,6741358,6741378,2
2271416,6742354,6740352,2
2291826,5866321,5867683,2
2277751,4592399,7703046,2
2279859,4594157,4594613,2
2281347,4593929,4593971,2
2281753,4593083,4593911,2
2279111,4594815,4593347,2
2281757,4593395,4593051,2
2280999,4593235,4593017,2
2281007,4592923,4593003,2
2282318,4592935,4592985,2
2284207,4592889,4593187,2
2281005,4592797,4592203,2
2279987,4592081,4592305,2
2283077,4592823,4592907,2
2280294,4593207,166157777,2
2282312,4593191,4593201,2
2284219,4593375,4593209,2
2282319,4593053,4593357,2
2281341,4593097,4594641,2
2279660,4592799,4592781,2
2279495,166157776,4592325,2
2281004,4592285,4592159,2
2281752,4592863,4593181,2
2282314,4592801,4592389,2
2278999,4571077,4572397,2
2279493,4570527,4572385,2
2280484,4570655,4570571,2
2283051,4571087,4570545,2
2280715,4571199,4571139,2
2281328,4572355,4572389,2
2280122,4571205,4572381,2
2281745,4570653,4570517,2
2279571,4573989,4573975,2
2280712,4573981,4573957,2
2278524,4594267,4595087,2
2280477,4594473,4594413,2
2280480,4594357,4594557,2
2282276,4594435,4594351,2
2279853,4594169,4594285,2
2279656,4594535,4594645,2
2280707,4593943,4594669,2
2280280,9325940,9326226,2
2279491,9325964,9326208,2
2281309,9326198,9326212,2
2282265,9326242,9326148,2
2279746,9326816,9327676,2
2279975,9326322,9336432,2
2279422,4573801,4574811,2
2281710,4573807,4573835,2
2280273,4573947,4573849,2
2278935,4574519,4575373,2
2279200,4574573,4574715,2
2280464,4574531,4574761,2
2278162,6083371,6084541,2
2278964,6082861,6084407,2
2279105,6082889,6084417,2
2279030,6082741,6084601,2
